compound,compound noun,compound noun_tag,neutral sentence,original sentence_tag,neutral sentence plural,neutral sentence plural_tag,entire neutral sentence,entire neutral sentence_tag,original modifier only,original modifier only_tag,original head only,original head only_tag,head only plural,head only plural_tag,modifier hypernym,modifier hypernym_tag,head hypernym,head hypernym_tag,synonym for compound,synonym for compound_tag,mwe synonym plural,mwe synonym plural_tag,modifier synonym,modifier synonym_tag,head synonym,head synonym_tag,head synonym plural,head synonym plural_tag,synonym both,synonym both_tag,both synonyms plural,both synonyms plural_tag,only mwe synonym,only mwe synonym_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand sentence5,nc rand sentence5_tag,compound noun head,compound noun head_tag,compound noun modifier,compound noun modifier_tag,only both synonyms,only both synonyms_tag
primeira mão,primeira mão,"[True, True]",Esta é uma primeira mão .,"[False, False, False, True, True, False]",Estas são primeiras mãos .,"[False, False, True, True, False]",Esta é uma primeira mão . ,"[True, True, True, True, True, True]",Esta é uma primeira .,"[False, False, False, True, False]",Esta é uma mão .,"[False, False, False, True, False]",Estas são mãos .,"[False, False, True, False]",Esta é uma mão normal .,"[False, False, False, True, True, False]",Esta é uma coisa primeira .,"[False, False, False, True, True, False]",Esta é uma novidade .,"[False, False, False, True, False]",Estas são novidades .,"[False, False, True, False]",Este é um primeiro palmo .,"[False, False, False, True, True, False]",Este é um mão inicial .,"[False, False, False, True, True, False]",Estes são mãos iniciais .,"[False, False, True, True, False]",Este é um palmo inicial .,"[False, False, False, True, True, False]",Estes são palmos iniciais .,"[False, False, True, True, False]",novidade,[True],Esta é uma fonte básica .,"[False, False, False, True, True, False]",Esta é uma fantástica banda .,"[False, False, False, True, True, False]",Esta é uma força bruta .,"[False, False, False, True, True, False]",Esta é uma intensa reforma .,"[False, False, False, True, True, False]",Esta é uma primeira-dama .,"[False, False, False, True, False]",Esta é uma antiga filiação .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",Esta é uma obra conjunta .,"[False, False, False, True, True, False]",Esta é uma roleta russa .,"[False, False, False, True, True, False]",Esta é uma maré baixa .,"[False, False, False, True, True, False]",mão,[True],primeira,[True],palmo inicial,"[True, True]"
primeira necessidade,primeira necessidade,"[True, True]",Esta é uma primeira necessidade .,"[False, False, False, True, True, False]",Estas são primeiras necessidades .,"[False, False, True, True, False]",Esta é uma primeira necessidade . ,"[True, True, True, True, True, True]",Esta é uma primeira .,"[False, False, False, True, False]",Esta é uma necessidade .,"[False, False, False, True, False]",Estas são necessidades .,"[False, False, True, False]",Esta é uma necessidade normal .,"[False, False, False, True, True, False]",Esta é uma coisa primeira .,"[False, False, False, True, True, False]",Esta é uma prioridade .,"[False, False, False, True, False]",Estas são prioridades .,"[False, False, True, False]",Esta é uma primeira exigência .,"[False, False, False, True, True, False]",Esta é uma necessidade inicial .,"[False, False, False, True, True, False]",Estas são necessidades iniciais .,"[False, False, True, True, False]",Esta é uma exigência inicial .,"[False, False, False, True, True, False]",Estas são exigências iniciais .,"[False, False, True, True, False]",prioridade,[True],Esta é uma direita raivosa .,"[False, False, False, True, True, False]",Esta é uma razão egoísta .,"[False, False, False, True, True, False]",Esta é uma saia justa .,"[False, False, False, True, True, False]",Esta é uma ação ininterrupta .,"[False, False, False, True, True, False]",Esta é uma lista negra .,"[False, False, False, True, True, False]",Esta é uma companhia subsidiária .,"[False, False, False, True, True, False]",Esta é uma queda livre .,"[False, False, False, True, True, False]",Esta é uma continuidade absoluta .,"[False, False, False, True, True, False]",Esta é uma primeira-dama .,"[False, False, False, True, False]",Esta é uma água doce .,"[False, False, False, True, True, False]",necessidade,[True],primeira,[True],exigência inicial,"[True, True]"
primeira-dama,primeira-dama,[True],Esta é uma primeira-dama .,"[False, False, False, True, False]",Estas são primeiras-damas .,"[False, False, True, False]",Esta é uma primeira-dama . ,"[True, True, True, True, True]",Esta é uma primeira .,"[False, False, False, True, False]",Esta é uma dama .,"[False, False, False, True, False]",Estas são damas .,"[False, False, True, False]",Esta é uma dama normal .,"[False, False, False, True, True, False]",Esta é uma coisa primeira .,"[False, False, False, True, True, False]",Esta é uma esposa do presidente .,"[False, False, False, True, True, True, False]",Estas são esposas do presidente .,"[False, False, True, True, True, False]",Esta é uma primeira mulher .,"[False, False, False, True, True, False]",Esta é uma dama inicial .,"[False, False, False, True, True, False]",Estas são damas iniciais .,"[False, False, True, True, False]",Esta é uma mulher inicial .,"[False, False, False, True, True, False]",Estas são mulheres iniciais .,"[False, False, True, True, False]",esposa do presidente,"[True, True, True]",Esta é uma república turca .,"[False, False, False, True, True, False]",Esta é uma imputabilidade penal .,"[False, False, False, True, True, False]",Esta é uma viva voz .,"[False, False, False, True, True, False]",Esta é uma bateria adicional .,"[False, False, False, True, True, False]",Esta é uma maré alta .,"[False, False, False, True, True, False]",Esta é uma vigilância eterna .,"[False, False, False, True, True, False]",Esta é uma farinha integral .,"[False, False, False, True, True, False]",Esta é uma descoberta notável .,"[False, False, False, True, True, False]",Esta é uma bebida alcoólica .,"[False, False, False, True, True, False]",Esta é uma poção mágica .,"[False, False, False, True, True, False]",dama,[True],primeira,[True],mulher inicial,"[True, True]"
primeiro ministro,primeiro ministro,"[True, True]",Este é um primeiro ministro .,"[False, False, False, True, True, False]",Estes são primeiros ministros .,"[False, False, True, True, False]",Este é um primeiro ministro . ,"[True, True, True, True, True, True]",Este é um primeiro .,"[False, False, False, True, False]",Este é um ministro .,"[False, False, False, True, False]",Estes são ministros .,"[False, False, True, False]",Este é um ministro normal .,"[False, False, False, True, True, False]",Este é um coiso primeiro .,"[False, False, False, True, True, False]",Este é um chefe de estado .,"[False, False, False, True, True, True, False]",Estes são chefes de estado .,"[False, False, True, True, True, False]",Este é um primeiro servidor .,"[False, False, False, True, True, False]",Este é um ministro inicial .,"[False, False, False, True, True, False]",Estes são ministros iniciais .,"[False, False, True, True, False]",Este é um servidor inicial .,"[False, False, False, True, True, False]",Estes são servidores iniciais .,"[False, False, True, True, False]",chefe de estado,"[True, True, True]",Este é um papel amarelo .,"[False, False, False, True, True, False]",Este é um texto simples .,"[False, False, False, True, True, False]",Este é um colégio militar .,"[False, False, False, True, True, False]",Este é um antigo compositor .,"[False, False, False, True, True, False]",Este é um pé-frio .,"[False, False, False, True, False]",Este é um panorama real .,"[False, False, False, True, True, False]",Este é um ar livre .,"[False, False, False, True, True, False]",Este é um filme semelhante .,"[False, False, False, True, True, False]",Este é um cheiro-verde .,"[False, False, False, True, False]",Este é um pé quente .,"[False, False, False, True, True, False]",ministro,[True],primeiro,[True],servidor inicial,"[True, True]"
primeiro plano,primeiro plano,"[True, True]",Este é um primeiro plano .,"[False, False, False, True, True, False]",Estes são primeiros planos .,"[False, False, True, True, False]",Este é um primeiro plano . ,"[True, True, True, True, True, True]",Este é um primeiro .,"[False, False, False, True, False]",Este é um plano .,"[False, False, False, True, False]",Estes são planos .,"[False, False, True, False]",Este é um plano normal .,"[False, False, False, True, True, False]",Este é um coiso primeiro .,"[False, False, False, True, True, False]",Este é um destaque .,"[False, False, False, True, False]",Estes são destaques .,"[False, False, True, False]",Este é um primeiro nível .,"[False, False, False, True, True, False]",Este é um plano inicial .,"[False, False, False, True, True, False]",Estes são planos iniciais .,"[False, False, True, True, False]",Este é um nível inicial .,"[False, False, False, True, True, False]",Estes são níveis iniciais .,"[False, False, True, True, False]",destaque,[True],Este é um valor ideal .,"[False, False, False, True, True, False]",Este é um matadouro local .,"[False, False, False, True, True, False]",Este é um processo seletivo .,"[False, False, False, True, True, False]",Este é um físico francês .,"[False, False, False, True, True, False]",Este é um pé quente .,"[False, False, False, True, True, False]",Este é um forte crítico .,"[False, False, False, True, True, False]",Este é um trabalho escravo .,"[False, False, False, True, True, False]",Este é um discurso real .,"[False, False, False, True, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",Este é um alto mar .,"[False, False, False, True, True, False]",plano,[True],primeiro,[True],nível inicial,"[True, True]"
príncipe encantado,príncipe encantado,"[True, True]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",Estes são príncipes encantados .,"[False, False, True, True, False]",Este é um príncipe encantado . ,"[True, True, True, True, True, True]",Este é um encantado .,"[False, False, False, True, False]",Este é um príncipe .,"[False, False, False, True, False]",Estes são príncipes .,"[False, False, True, False]",Este é um príncipe normal .,"[False, False, False, True, True, False]",Este é um coiso encantado .,"[False, False, False, True, True, False]",Este é um homem perfeito .,"[False, False, False, True, True, False]",Estes são homens perfeitos .,"[False, False, True, True, False]",Este é um príncipe enfeitiçado .,"[False, False, False, True, True, False]",Este é um infante encantado .,"[False, False, False, True, True, False]",Estes são infantes encantados .,"[False, False, True, True, False]",Este é um infante enfeitiçado .,"[False, False, False, True, True, False]",Estes são infantes enfeitiçados .,"[False, False, True, True, False]",homem perfeito,"[True, True]",Este é um poeta setubalense .,"[False, False, False, True, True, False]",Este é um dogo argentino .,"[False, False, False, True, True, False]",Este é um bode expiatório .,"[False, False, False, True, True, False]",Este é um ato cognitivo .,"[False, False, False, True, True, False]",Este é um leite integral .,"[False, False, False, True, True, False]",Este é um desfecho favorável .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um recuo imediato .,"[False, False, False, True, True, False]",Este é um juízo final .,"[False, False, False, True, True, False]",Este é um exame clínico .,"[False, False, False, True, True, False]",príncipe,[True],encantado,[True],infante enfeitiçado,"[True, True]"
processo seletivo,processo seletivo,"[True, True]",Este é um processo seletivo .,"[False, False, False, True, True, False]",Estes são processos seletivos .,"[False, False, True, True, False]",Este é um processo seletivo . ,"[True, True, True, True, True, True]",Este é um seletivo .,"[False, False, False, True, False]",Este é um processo .,"[False, False, False, True, False]",Estes são processos .,"[False, False, True, False]",Este é um processo normal .,"[False, False, False, True, True, False]",Este é um coiso seletivo .,"[False, False, False, True, True, False]",Esta é uma seleção .,"[False, False, False, True, False]",Estas são seleções .,"[False, False, True, False]",Este é um processo selecionado .,"[False, False, False, True, True, False]",Este é um procedimento seletivo .,"[False, False, False, True, True, False]",Estes são procedimentos seletivos .,"[False, False, True, True, False]",Este é um procedimento selecionado .,"[False, False, False, True, True, False]",Estes são procedimentos selecionados .,"[False, False, True, True, False]",seleção,[True],Este é um craque português .,"[False, False, False, True, True, False]",Este é um noroeste português .,"[False, False, False, True, True, False]",Este é um olho gordo .,"[False, False, False, True, True, False]",Este é um rei antigo .,"[False, False, False, True, True, False]",Este é um sinal verde .,"[False, False, False, True, True, False]",Este é um artista comercial .,"[False, False, False, True, True, False]",Este é um bode expiatório .,"[False, False, False, True, True, False]",Este é um pintor real .,"[False, False, False, True, True, False]",Este é um cheiro-verde .,"[False, False, False, True, False]",Este é um juízo final .,"[False, False, False, True, True, False]",processo,[True],seletivo,[True],procedimento selecionado,"[True, True]"
pronto-socorro,pronto-socorro,[True],Este é um pronto-socorro .,"[False, False, False, True, False]",Estes são prontos-socorros .,"[False, False, True, False]",Este é um pronto-socorro . ,"[True, True, True, True, True]",Este é um pronto .,"[False, False, False, True, False]",Este é um socorro .,"[False, False, False, True, False]",Estes são socorros .,"[False, False, True, False]",Este é um socorro normal .,"[False, False, False, True, True, False]",Este é um coiso pronto .,"[False, False, False, True, True, False]",Este é um hospital .,"[False, False, False, True, False]",Estes são hospitais .,"[False, False, True, False]",Esta é uma assistência pronta .,"[False, False, False, True, True, False]",Este é um socorro rápido .,"[False, False, False, True, True, False]",Estes são socorros rápidos .,"[False, False, True, True, False]",Esta é uma assistência rápida .,"[False, False, False, True, True, False]",Estas são assistências rápidas .,"[False, False, True, True, False]",hospital,[True],Este é um autarca suspenso .,"[False, False, False, True, True, False]",Este é um subsecretário adjunto .,"[False, False, False, True, True, False]",Este é um cheiro-verde .,"[False, False, False, True, False]",Este é um deserto argelino .,"[False, False, False, True, True, False]",Este é um paraíso fiscal .,"[False, False, False, True, True, False]",Este é um autêntico frenesim .,"[False, False, False, True, True, False]",Este é um alto-falante .,"[False, False, False, True, False]",Este é um espectador curioso .,"[False, False, False, True, True, False]",Este é um mau contato .,"[False, False, False, True, True, False]",Este é um olho nu .,"[False, False, False, True, True, False]",socorro,[True],pronto,[True],assistência rápida,"[True, True]"
puro-sangue,puro-sangue,[True],Este é um puro-sangue .,"[False, False, False, True, False]",Estes são puros-sangues .,"[False, False, True, False]",Este é um puro-sangue . ,"[True, True, True, True, True]",Este é um puro .,"[False, False, False, True, False]",Este é um sangue .,"[False, False, False, True, False]",Estes são sangues .,"[False, False, True, False]",Este é um sangue normal .,"[False, False, False, True, True, False]",Este é um coiso puro .,"[False, False, False, True, True, False]",Este é um de raça .,"[False, False, False, True, True, False]",Estes são de raça .,"[False, False, True, True, False]",Esta é uma pura plasma .,"[False, False, False, True, True, False]",Este é um sangue autêntico .,"[False, False, False, True, True, False]",Estes são sangues autênticos .,"[False, False, True, True, False]",Este é um plasma autêntico .,"[False, False, False, True, True, False]",Estes são plasmas autênticos .,"[False, False, True, True, False]",de raça,"[True, True]",Este é um agente intermediário .,"[False, False, False, True, True, False]",Este é um conjunto hidráulico .,"[False, False, False, True, True, False]",Este é um segundo plano .,"[False, False, False, True, True, False]",Este é um padrão artificial .,"[False, False, False, True, True, False]",Este é um primeiro plano .,"[False, False, False, True, True, False]",Este é um filho paralítico .,"[False, False, False, True, True, False]",Este é um curto-circuito .,"[False, False, False, True, False]",Este é um manual básico .,"[False, False, False, True, True, False]",Este é um paraíso fiscal .,"[False, False, False, True, True, False]",Este é um banho turco .,"[False, False, False, True, True, False]",sangue,[True],puro,[True],plasma autêntico,"[True, True]"
quadro-negro,quadro-negro,[True],Este é um quadro-negro .,"[False, False, False, True, False]",Estes são quadros-negros .,"[False, False, True, False]",Este é um quadro-negro . ,"[True, True, True, True, True]",Este é um negro .,"[False, False, False, True, False]",Este é um quadro .,"[False, False, False, True, False]",Estes são quadros .,"[False, False, True, False]",Este é um quadro normal .,"[False, False, False, True, True, False]",Este é um coiso negro .,"[False, False, False, True, True, False]",Esta é uma lousa .,"[False, False, False, True, False]",Estas são lousas .,"[False, False, True, False]",Este é um quadro preto .,"[False, False, False, True, True, False]",Este é um painel negro .,"[False, False, False, True, True, False]",Estes são painéis negros .,"[False, False, True, True, False]",Este é um painel preto .,"[False, False, False, True, True, False]",Estes são painéis pretos .,"[False, False, True, True, False]",lousa,[True],Este é um caminho socialista .,"[False, False, False, True, True, False]",Este é um líder sudanês .,"[False, False, False, True, True, False]",Este é um deputado federal .,"[False, False, False, True, True, False]",Este é um modo inverso .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um projeto ambiental .,"[False, False, False, True, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",Este é um problema análogo .,"[False, False, False, True, True, False]",Este é um pão-duro .,"[False, False, False, True, False]",Este é um livro aberto .,"[False, False, False, True, True, False]",quadro,[True],negro,[True],painel preto,"[True, True]"
queda livre,queda livre,"[True, True]",Esta é uma queda livre .,"[False, False, False, True, True, False]",Estas são quedas livres .,"[False, False, True, True, False]",Esta é uma queda livre . ,"[True, True, True, True, True, True]",Esta é uma livre .,"[False, False, False, True, False]",Esta é uma queda .,"[False, False, False, True, False]",Estas são quedas .,"[False, False, True, False]",Esta é uma queda normal .,"[False, False, False, True, True, False]",Esta é uma coisa livre .,"[False, False, False, True, True, False]",Esta é uma queda .,"[False, False, False, True, False]",Estas são quedas .,"[False, False, True, False]",Esta é uma queda liberta .,"[False, False, False, True, True, False]",Esta é uma caída livre .,"[False, False, False, True, True, False]",Estas são caídas livres .,"[False, False, True, True, False]",Esta é uma caída liberta .,"[False, False, False, True, True, False]",Estas são caídas libertas .,"[False, False, True, True, False]",queda,[True],Esta é uma observação especial .,"[False, False, False, True, True, False]",Esta é uma imagem brasileira .,"[False, False, False, True, True, False]",Esta é uma gripe aviária .,"[False, False, False, True, True, False]",Esta é uma arquibancada geral .,"[False, False, False, True, True, False]",Esta é uma classe executiva .,"[False, False, False, True, True, False]",Esta é uma fisionomia geral .,"[False, False, False, True, True, False]",Esta é uma roda gigante .,"[False, False, False, True, True, False]",Esta é uma produção diferente .,"[False, False, False, True, True, False]",Esta é uma planta baixa .,"[False, False, False, True, True, False]",Esta é uma roleta russa .,"[False, False, False, True, True, False]",queda,[True],livre,[True],caída liberta,"[True, True]"
quinta categoria,quinta categoria,"[True, True]",Esta é uma quinta categoria .,"[False, False, False, True, True, False]",Estas são quintas categorias .,"[False, False, True, True, False]",Esta é uma quinta categoria . ,"[True, True, True, True, True, True]",Esta é uma quinta .,"[False, False, False, True, False]",Esta é uma categoria .,"[False, False, False, True, False]",Estas são categorias .,"[False, False, True, False]",Esta é uma categoria normal .,"[False, False, False, True, True, False]",Esta é uma coisa quinta .,"[False, False, False, True, True, False]",Este é um ruim .,"[False, False, False, True, False]",Estes são ruins .,"[False, False, True, False]",Esta é uma quinta classe .,"[False, False, False, True, True, False]",Esta é uma quarta categoria .,"[False, False, False, True, True, False]",Estas são quartas categorias .,"[False, False, True, True, False]",Esta é uma quarta classe .,"[False, False, False, True, True, False]",Estas são quartas classes .,"[False, False, True, True, False]",ruim,[True],Esta é uma reestruturação radical .,"[False, False, False, True, True, False]",Esta é uma liderança tucana .,"[False, False, False, True, True, False]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",Esta é uma linda ruiva .,"[False, False, False, True, True, False]",Esta é uma bebida alcoólica .,"[False, False, False, True, True, False]",Esta é uma gabardina vermelha .,"[False, False, False, True, True, False]",Esta é uma longa data .,"[False, False, False, True, True, False]",Esta é uma fantasia pura .,"[False, False, False, True, True, False]",Esta é uma companhia aérea .,"[False, False, False, True, True, False]",Esta é uma magia negra .,"[False, False, False, True, True, False]",categoria,[True],quinta,[True],quarta classe,"[True, True]"
rede social,rede social,"[True, True]",Esta é uma rede social .,"[False, False, False, True, True, False]",Estas são redes sociais .,"[False, False, True, True, False]",Esta é uma rede social . ,"[True, True, True, True, True, True]",Esta é uma social .,"[False, False, False, True, False]",Esta é uma rede .,"[False, False, False, True, False]",Estas são redes .,"[False, False, True, False]",Esta é uma rede normal .,"[False, False, False, True, True, False]",Esta é uma coisa social .,"[False, False, False, True, True, False]",Esta é uma rede de contatos .,"[False, False, False, True, True, True, False]",Estas são redes de contatos .,"[False, False, True, True, True, False]",Esta é uma rede comunitária .,"[False, False, False, True, True, False]",Esta é uma malha social .,"[False, False, False, True, True, False]",Estas são malhas sociais .,"[False, False, True, True, False]",Esta é uma malha comunitária .,"[False, False, False, True, True, False]",Estas são malhas comunitárias .,"[False, False, True, True, False]",rede de contatos,"[True, True, True]",Estas são eleições presidenciais .,"[False, False, True, True, False]",Estas são novas empresas .,"[False, False, True, True, False]",Estas são salas cirúrgicas .,"[False, False, True, True, False]",Estas são alterações climáticas .,"[False, False, True, True, False]",Estas são cordas vocais .,"[False, False, True, True, False]",Estas são grandes espécies .,"[False, False, True, True, False]",Estas são luas cheias .,"[False, False, True, True, False]",Estas são armas grandes .,"[False, False, True, True, False]",Estas são luas novas .,"[False, False, True, True, False]",Estas são segundas intenções .,"[False, False, True, True, False]",rede,[True],social,[True],malha comunitária,"[True, True]"
regime político,regime político,"[True, True]",Este é um regime político .,"[False, False, False, True, True, False]",Estes são regimes políticos .,"[False, False, True, True, False]",Este é um regime político . ,"[True, True, True, True, True, True]",Este é um político .,"[False, False, False, True, False]",Este é um regime .,"[False, False, False, True, False]",Estes são regimes .,"[False, False, True, False]",Este é um regime normal .,"[False, False, False, True, True, False]",Este é um coiso político .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",Estes são sistemas políticos .,"[False, False, True, True, False]",Este é um regime parlamentar .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",Estes são sistemas políticos .,"[False, False, True, True, False]",Este é um sistema parlamentar .,"[False, False, False, True, True, False]",Estes são sistemas parlamentares .,"[False, False, True, True, False]",sistema político,"[True, True]",Este é um centro comercial .,"[False, False, False, True, True, False]",Este é um pedagogo social .,"[False, False, False, True, True, False]",Este é um tiro livre .,"[False, False, False, True, True, False]",Este é um ano incrível .,"[False, False, False, True, True, False]",Este é um bode expiatório .,"[False, False, False, True, True, False]",Este é um construtivismo social .,"[False, False, False, True, True, False]",Este é um guarda-florestal .,"[False, False, False, True, False]",Este é um melodrama social .,"[False, False, False, True, True, False]",Este é um pente fino .,"[False, False, False, True, True, False]",Este é um mau contato .,"[False, False, False, True, True, False]",regime,[True],político,[True],sistema parlamentar,"[True, True]"
relógio analógico,relógio analógico,"[True, True]",Este é um relógio analógico .,"[False, False, False, True, True, False]",Estes são relógios analógicos .,"[False, False, True, True, False]",Este é um relógio analógico . ,"[True, True, True, True, True, True]",Este é um analógico .,"[False, False, False, True, False]",Este é um relógio .,"[False, False, False, True, False]",Estes são relógios .,"[False, False, True, False]",Este é um relógio normal .,"[False, False, False, True, True, False]",Este é um coiso analógico .,"[False, False, False, True, True, False]",Este é um relógio .,"[False, False, False, True, False]",Estes são relógios .,"[False, False, True, False]",Este é um relógio análogo .,"[False, False, False, True, True, False]",Este é um temporizador analógico .,"[False, False, False, True, True, False]",Estes são temporizadores analógicos .,"[False, False, True, True, False]",Este é um temporizador análogo .,"[False, False, False, True, True, False]",Estes são temporizadores análogos .,"[False, False, True, True, False]",relógio,[True],Este é um bisavô materno .,"[False, False, False, True, True, False]",Este é um grito distante .,"[False, False, False, True, True, False]",Este é um ano-novo .,"[False, False, False, True, False]",Este é um recuo demográfico .,"[False, False, False, True, True, False]",Este é um pé quente .,"[False, False, False, True, True, False]",Este é um barítono austríaco .,"[False, False, False, True, True, False]",Este é um olho gordo .,"[False, False, False, True, True, False]",Este é um dentista prático .,"[False, False, False, True, True, False]",Este é um regime político .,"[False, False, False, True, True, False]",Este é um fio condutor .,"[False, False, False, True, True, False]",relógio,[True],analógico,[True],temporizador análogo,"[True, True]"
relógio biológico,relógio biológico,"[True, True]",Este é um relógio biológico .,"[False, False, False, True, True, False]",Estes são relógios biológicos .,"[False, False, True, True, False]",Este é um relógio biológico . ,"[True, True, True, True, True, True]",Este é um biológico .,"[False, False, False, True, False]",Este é um relógio .,"[False, False, False, True, False]",Estes são relógios .,"[False, False, True, False]",Este é um relógio normal .,"[False, False, False, True, True, False]",Este é um coiso biológico .,"[False, False, False, True, True, False]",Este é um relógio interno .,"[False, False, False, True, True, False]",Estes são relógios internos .,"[False, False, True, True, False]",Este é um relógio orgânico .,"[False, False, False, True, True, False]",Este é um temporizador biológico .,"[False, False, False, True, True, False]",Estes são temporizadores biológicos .,"[False, False, True, True, False]",Este é um temporizador orgânico .,"[False, False, False, True, True, False]",Estes são temporizadores orgânicos .,"[False, False, True, True, False]",relógio interno,"[True, True]",Este é um telemóvel descartável .,"[False, False, False, True, True, False]",Este é um muro gigante .,"[False, False, False, True, True, False]",Este é um leite integral .,"[False, False, False, True, True, False]",Este é um rebanho bovino .,"[False, False, False, True, True, False]",Este é um trabalho escravo .,"[False, False, False, True, True, False]",Este é um vinho sacramental .,"[False, False, False, True, True, False]",Este é um alarme falso .,"[False, False, False, True, True, False]",Este é um prato tradicional .,"[False, False, False, True, True, False]",Este é um café colonial .,"[False, False, False, True, True, False]",Este é um mau-humor .,"[False, False, False, True, False]",relógio,[True],biológico,[True],temporizador orgânico,"[True, True]"
reta final,reta final,"[True, True]",Esta é uma reta final .,"[False, False, False, True, True, False]",Estas são retas finais .,"[False, False, True, True, False]",Esta é uma reta final . ,"[True, True, True, True, True, True]",Esta é uma final .,"[False, False, False, True, False]",Esta é uma reta .,"[False, False, False, True, False]",Estas são retas .,"[False, False, True, False]",Esta é uma reta normal .,"[False, False, False, True, True, False]",Esta é uma coisa final .,"[False, False, False, True, True, False]",Este é um fim .,"[False, False, False, True, False]",Estes são fins .,"[False, False, True, False]",Esta é uma última reta .,"[False, False, False, True, True, False]",Esta é uma linha final .,"[False, False, False, True, True, False]",Estas são linhas finais .,"[False, False, True, True, False]",Esta é uma linha última .,"[False, False, False, True, True, False]",Estas são linhas últimas .,"[False, False, True, True, False]",fim,[True],Esta é uma avaliação civil .,"[False, False, False, True, True, False]",Esta é uma região pacífica .,"[False, False, False, True, True, False]",Esta é uma terceira pessoa .,"[False, False, False, True, True, False]",Esta é uma universidade pública .,"[False, False, False, True, True, False]",Esta é uma primeira infância .,"[False, False, False, True, True, False]",Esta é uma grande confusão .,"[False, False, False, True, True, False]",Esta é uma companhia aérea .,"[False, False, False, True, True, False]",Esta é uma comunidade popular .,"[False, False, False, True, True, False]",Esta é uma batata-doce .,"[False, False, False, True, False]",Esta é uma primeira necessidade .,"[False, False, False, True, True, False]",reta,[True],final,[True],linha última,"[True, True]"
roda gigante,roda gigante,"[True, True]",Esta é uma roda gigante .,"[False, False, False, True, True, False]",Estas são rodas gigantes .,"[False, False, True, True, False]",Esta é uma roda gigante . ,"[True, True, True, True, True, True]",Esta é uma gigante .,"[False, False, False, True, False]",Esta é uma roda .,"[False, False, False, True, False]",Estas são rodas .,"[False, False, True, False]",Esta é uma roda normal .,"[False, False, False, True, True, False]",Esta é uma coisa gigante .,"[False, False, False, True, True, False]",Este é um brinquedo .,"[False, False, False, True, False]",Estes são brinquedos .,"[False, False, True, False]",Esta é uma roda enorme .,"[False, False, False, True, True, False]",Este é um círculo gigante .,"[False, False, False, True, True, False]",Estes são círculos gigantes .,"[False, False, True, True, False]",Este é um círculo enorme .,"[False, False, False, True, True, False]",Estes são círculos enormes .,"[False, False, True, True, False]",brinquedo,[True],Esta é uma célebre editora .,"[False, False, False, True, True, False]",Esta é uma filha natimorta .,"[False, False, False, True, True, False]",Esta é uma fila indiana .,"[False, False, False, True, True, False]",Esta é uma segregação geográfica .,"[False, False, False, True, True, False]",Esta é uma maré baixa .,"[False, False, False, True, True, False]",Esta é uma floresta primordial .,"[False, False, False, True, True, False]",Esta é uma quinta categoria .,"[False, False, False, True, True, False]",Esta é uma melhoria efetiva .,"[False, False, False, True, True, False]",Esta é uma má-fé .,"[False, False, False, True, False]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",roda,[True],gigante,[True],círculo enorme,"[True, True]"
